,im_path,im_quality
0,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/1/1_l1.jpg,0
1,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/1/1_l2.jpg,0
2,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/1/1_r1.jpg,0
3,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/1/1_r2.jpg,0
4,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/2/2_l1.jpg,0
5,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/2/2_l2.jpg,0
6,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/2/2_r1.jpg,0
7,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/2/2_r2.jpg,0
8,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/3/3_l1.jpg,0
9,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/3/3_l2.jpg,0
10,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/3/3_r1.jpg,0
11,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/3/3_r2.jpg,0
12,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/4/4_l1.jpg,0
13,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/4/4_l2.jpg,0
14,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/4/4_r1.jpg,0
15,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/4/4_r2.jpg,0
16,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/5/5_l1.jpg,1
17,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/5/5_l2.jpg,1
18,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/5/5_r1.jpg,0
19,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/5/5_r2.jpg,0
20,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/6/6_l1.jpg,0
21,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/6/6_l2.jpg,0
22,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/6/6_r1.jpg,0
23,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/6/6_r2.jpg,0
24,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/7/7_l1.jpg,1
25,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/7/7_l2.jpg,1
26,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/7/7_r1.jpg,1
27,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/7/7_r2.jpg,1
28,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/8/8_l1.jpg,0
29,/Users/jinglin/Documents/spiced_projects/dr_app_mnt/data/deepdr/regular_fundus_images/regular-fundus-training/Images/8/8_l2.jpg,0
